position,overall,name,nation,club,age
GK,63,Lasse Rieß,Germany,1. FSV Mainz 05,22
GK,56,Lasse Schulz,Finland,Viborg FF,20
GK,61,Laureano Martínez,Argentina,Talleres,21
GK,67,Laurent Henkinet,Belgium,Standard Liège,31
GK,66,Laurențiu Popescu,Romania,Univ. Craiova,26
GK,55,Laurie Shala,Kosovo,Wycombe,19
GK,56,Laurin Mack,Germany,SC Freiburg II,19
GK,71,Lautaro Morales,Argentina,Talleres,23
GK,74,Lawrence Ati Zigi,Ghana,FC St. Gallen,26
GK,69,Lawrence Thomas,Australia,WS Wanderers,31
GK,65,Lawrence Vigouroux,Chile,Burnley,29
GK,58,Laxmikant Kattimani,India,Hyderabad FC,34
GK,54,Leander Øy,Norway,Sarpsborg 08,19
GK,70,Leandro Chichizola,Argentina,Parma,33
GK,70,Leandro Requena,Argentina,Cobresal,36
GK,54,Lee Bum Young,Korea Republic,Suwon FC,34
GK,64,Lee Burge,England,Northampton,30
GK,72,Lee Chang Geun,Korea Republic,Daejeon Citizen,30
GK,65,Lee Gwang Yeon,Korea Republic,Gangwon FC,24
GK,62,Lee Jun,Korea Republic,GwangJu FC,26
GK,54,Lee Jun Hee,Korea Republic,Daegu FC,29
GK,74,Lee Nicholls,England,Huddersfield,31
GK,63,Lee Tae Hui,Korea Republic,Incheon United,28
GK,69,Lennart Grill,Germany,VfL Osnabrück,24
GK,60,Leo Oppermann,Germany,Arminia Bielefeld,22
GK,69,Leo Román,Spain,R. Oviedo,23
GK,66,Leo Weinkauf,Germany,Hannover 96,27
GK,57,Leon Cuk,Germany,Jahn Regensburg,20
GK,54,Leon Nübel,Germany,SC Verl,19
GK,59,Leon Pöhls,Germany,Shamrock Rovers,26
GK,60,Leon Schaffran,Germany,Fürth,25
GK,70,Leonardo Burián,Uruguay,Vélez Sarsfield,39
GK,61,Leonardo Marson,Italy,Cosenza,25
GK,54,Leon-Oumar Wechsel,Germany,Hannover 96,18
GK,68,Leopold Wahlstedt,Sweden,Blackburn Rovers,24
GK,69,Leopold Zingerle,Germany,RB Leipzig,29
GK,55,Lewis Thomas,England,Harrogate Town,21
GK,55,Lewis Webb,Wales,Swansea City,22
GK,60,Li Huayang,China PR,Nantong Zhiyun FC,36
GK,50,Li Yuefeng,China PR,Tianjin JMT FC,21
GK,56,Liam Isherwood,England,Accrington,21
GK,67,Liam Kelly,Scotland,Motherwell,27
GK,65,Liam Roberts,England,Barnsley,28
GK,48,Lim Jun Sub,Korea Republic,Jeju United,20
GK,66,Lionel Mpasi,Congo DR,Rodez AF,29
GK,69,Liu Dianzuo,China PR,Wuhan 3 Towns,33
GK,48,Liu Jun,China PR,Qingdao Hainiu,33
GK,57,Liu Shibo,China PR,Shandong Taishan,26
GK,56,Liu Zhenli,China PR,Qingdao Hainiu,38
GK,58,Logan Ketterer,United States,CF Montréal,29
GK,65,Loïc Badiashile,France,Burgos CF,25
GK,54,Lorcan Healy,Republic of Ireland,UCD AFC,23
GK,58,Lorenz Otto,Germany,SSV Ulm 1846,22
GK,77,Lorenzo Montipò,Italy,Hellas Verona,27
GK,72,Loris Karius,Germany,Newcastle Utd,30
GK,60,Louis Fortin,Belgium,KAA Gent,21
GK,60,Louis Jones,England,Doncaster,24
GK,59,Louis Lord,Germany,FC Erzgebirge Aue,19
GK,70,Lovre Kalinić,Croatia,Hajduk Split,33
GK,52,Lu Ning,China PR,Changchun Yatai,25
GK,58,Luca Ashby-Hammond,England,Crawley Town,22
GK,57,Luca Bendel,Germany,Hallescher FC,20
GK,56,Luca Böggemann,Germany,VfL Osnabrück,19
GK,54,Luca Bolletta,Italy,Ascoli,18
GK,64,Luca Gemello,Italy,Torino,23
GK,65,Luca Maniero,Italy,Cittadella,28
GK,65,Luca Philipp,Germany,TSG Hoffenheim,22
GK,64,Luca Unbehaun,Germany,SC Verl,22
GK,70,Luca Zidane,France,SD Eibar,25
GK,70,Lucas Acosta,Argentina,Lanús,28
GK,71,Lucas Cháves,Argentina,Huracán,28
GK,78,Lucas Chevalier,France,LOSC Lille,21
GK,60,Lucas Escobar,Argentina,Defensa,21
GK,61,Lucas Hägg Johansson,Sweden,Brommapojkarna,29
GK,72,Lucas Hoyos,Argentina,Newell's,34
GK,61,Lucas Lavallée,France,USL Dunkerque,20
GK,69,Lucas Lund,Denmark,Viborg FF,23
GK,62,Lucas Paes,Brazil,Casa Pia AC,25
GK,66,Lucas Pirard,Belgium,KV Kortrijk,28
GK,60,Luciano Peraggini,Argentina,Lanús,21
GK,58,Lucien Hawryluk,Germany,SV Waldhof,23
GK,68,Ludovic Butelle,France,Stade de Reims,40
GK,73,Luigi Sepe,Italy,Latium,32
GK,61,Luis Banegas,Bolivia,The Strongest,27
GK,64,Luis Barraza,United States,New York City FC,26
GK,57,Luis Guillén,Paraguay,Gral. Caballero,22
GK,63,Luis López,Spain,CD Mirandés,22
GK,77,Luís Maximiano,Portugal,UD Almería,24
GK,65,Luis Miguel Marquines,Colombia,Atl. Nacional,20
GK,65,Luis Ojeda,Argentina,Atlético Tucumán,33
GK,68,Luis Romero,Venezuela,Puerto Cabello,32
GK,53,Luis Zamudio,United States,D.C. United,25
GK,67,Luiz Felipe,Brazil,Farense,26
GK,73,Luiz Júnior,Brazil,FC Famalicão,22
GK,59,Luka Marić,Austria,SK Sturm Graz,21
GK,64,Lukas Gütlbauer,Austria,Wolfsberger AC,22
GK,65,Lukas Hornicek,Czech Republic,SC Braga,21
GK,81,Lukáš Hrádecký,Finland,Leverkusen,33
GK,63,Lukáš Hroššo,Slovakia,Cracovia,36
GK,61,Lukas Jensen,Denmark,Lincoln City,24
GK,62,Lukas Watkowiak,Germany,FC St. Gallen,27
GK,61,Lukas Wedl,Austria,FK Austria Wien,27
GK,63,Lukáš Zima,Czech Republic,FC Petrolul,29
GK,79,Łukasz Fabiański,Poland,West Ham,38
GK,77,Łukasz Skorupski,Poland,Bologna,32
GK,65,Luke Daniels,England,Forest Green,35
GK,55,Luke Dennison,United States,Bohemian FC,27
GK,62,Luke McGee,England,Tranmere Rovers,28
GK,58,Luke McNicholas,Republic of Ireland,Wrexham AFC,23
GK,66,Luke Southwood,Northern Ireland,Cheltenham Town,25
GK,65,Luuk Koopmans,Holland,Fortuna Sittard,29
GK,67,Ma Zhen,China PR,Shanghai Shenhua,25
GK,71,Maarten Paes,Holland,FC Dallas,25
GK,75,Maarten Vandevoordt,Belgium,KRC Genk,21
GK,54,Maciej Kowal,Poland,Pogoń Szczecin,20
GK,50,Mackenzie Chapman,England,Blackpool,21
GK,58,Macklin Freke,Australia,Brisbane Roar,24
GK,68,Mads Christiansen,Norway,Lillestrøm SK,22
GK,72,Mads Hermansen,Denmark,Leicester City,23
GK,65,Mads Kikkenborg,Denmark,Lyngby BK,24
GK,70,Maduka Okoye,Nigeria,Udinese,24
GK,54,Magnus Nielsen,Denmark,Odense BK,19
GK,54,Magnus Rugland Ree,Norway,Viking FK,19
GK,64,Magnus Sjøeng,Norway,Vålerenga Fotball,21
GK,65,Magrão,Brazil,Rio Ave FC,23
GK,65,Magunagoitia,Spain,SD Amorebieta,23
GK,50,Mai Gaolin,China PR,Meizhou Hakka,25
GK,68,Mailson,Brazil,Al Taawoun,27
GK,52,Maksymilian Boruc,Poland,Hibernian,20
GK,65,Malkolm Nilsson Säfqvist,Sweden,Halmstads BK,30
GK,57,Malte Påhlsson,Sweden,Halmstads BK,24
GK,56,Malwin Zok,Germany,SV Waldhof,20
GK,70,Mamadou Samassa,Mali,Stade Lavallois,33
GK,55,Mansour Jawhar,Saudi Arabia,Abha Club,28
GK,60,Manuel Ferrel,Bolivia,Guabirá,22
GK,67,Manuel Kuttin,Austria,Grasshopper Club,29
GK,87,Manuel Neuer,Germany,FC Bayern München,37
GK,77,Manuel Riemann,Germany,VfL Bochum,35
GK,70,Manuel Roffo,Argentina,Instituto,23
GK,64,Manuel Vicentini,Argentina,Belgrano,33
GK,69,Marc Martínez,Spain,FC Cartagena,33
GK,60,Marc Vidal,Spain,FC Barcelona,23
GK,89,Marc-André ter Stegen,Germany,FC Barcelona,31
GK,68,Marc-Aurèle Caillard,France,FC Metz,29
GK,64,Marcel Engelhardt,Germany,Holstein Kiel,30
GK,58,Marcel Köstenbauer,Austria,Austria Klagenfurt,22
GK,68,Marcel Lotka,Poland,Borussia Dortmund,22
GK,60,Marcel Łubik,Poland,FC Augsburg,19
GK,54,Marcel Potoczny,Poland,Ruch Chorzów,17
GK,75,Marcel Schuhen,Germany,SV Darmstadt 98,30
GK,79,Marcelo Grohe,Brazil,Al Ittihad,36
GK,57,Marcelo Pitaluga,Brazil,Liverpool,20
GK,73,Marcin Bułka,Poland,OGC Nice,24
GK,76,Marco Bizot,Holland,Stade Brestois 29,32
GK,79,Marco Carnesecchi,Italy,Bergamo Calcio,23
GK,68,Marco Hiller,Germany,1860 München,26
GK,64,Marco Knaller,Austria,Austria Klagenfurt,36
GK,79,Marco Silvestri,Italy,Udinese,32
GK,77,Marco Sportiello,Italy,Milan,31
GK,64,Marco Suárez,Spain,R. Oviedo,19
GK,69,Marcos Ledesma,Argentina,Central Córdoba,27
GK,70,Marcus Bettinelli,England,Chelsea,31
GK,55,Marcus Dewhurst,England,Sheffield Utd,22
GK,65,Marcus Sandberg,Sweden,HamKam Fotball,32
GK,75,Marek Rodák,Slovakia,Fulham,26
GK,70,Marian Aioani,Romania,Farul Constanța,23
GK,56,Marian Kirsch,Germany,B. Dortmund II,19
GK,68,Marián Tvrdoň,Slovakia,Viktoria Plzeň,29
GK,73,Mariano Andújar,Argentina,Estudiantes,40
GK,53,Mario Enache,Romania,FCU 1948,20
GK,65,Marius Funk,Germany,FC Ingolstadt 04,27
GK,72,Marius Gersbeck,Germany,Hertha Berlin,28
GK,73,Marius Müller,Germany,FC Schalke 04,30
GK,56,Marius Ulla,Norway,Stabæk Fotball,21
GK,53,Mark Byrne,Republic of Ireland,Dundalk,23
GK,82,Mark Flekken,Holland,Brentford,30
GK,66,Mark Gillespie,England,Newcastle Utd,31
GK,60,Mark Howard,England,Wrexham AFC,37
GK,59,Mark Oxley,England,Harrogate Town,33
GK,58,Mark Spenkelink,Holland,RKC Waalwijk,26
GK,73,Mark Travers,Republic of Ireland,Stoke City,24
GK,80,Marko Dmitrović,Serbia,Sevilla FC,31
GK,69,Marko Ilić,Serbia,Colorado Rapids,25
GK,66,Marko Johansson,Sweden,Halmstads BK,25
GK,67,Marko Maroši,Slovakia,Shrewsbury,29
GK,71,Markus Kolke,Germany,Hansa Rostock,33
GK,65,Markus Kuster,Austria,FC Winterthur,29
GK,59,Markus Ponath,Germany,FC Ingolstadt 04,22
GK,65,Markus Schubert,Germany,Vitesse,25
GK,71,Martín Campaña,Uruguay,Al Riyadh,34
GK,57,Martin Delavallée,Belgium,Sp. Charleroi,19
GK,78,Martin Dúbravka,Slovakia,Newcastle Utd,34
GK,71,Martin Fraisl,Austria,FC Midtjylland,30
GK,68,Martin Hansen,Denmark,Odense BK,33
GK,69,Martin Männel,Germany,FC Erzgebirge Aue,35
GK,65,Martín Rodríguez,Uruguay,Guaraní,34
GK,75,Martín Silva,Uruguay,Libertad,40
GK,66,Marvin Keller,Switzerland,FC Winterthur,21
GK,77,Marvin Schwäbe,Germany,1. FC Köln,28
GK,55,Marvin Seybold,Germany,SSV Ulm 1846,21
GK,59,Marwan Al Haidari,Saudi Arabia,Al Khaleej,27
GK,76,Marwin Hitz,Switzerland,FC Basel 1893,36
GK,58,Mason Stajduhar,United States,Orlando City,25
GK,64,Massamba Ndiaye,Senegal,Clermont Foot 63,22
GK,74,Matěj Kovář,Czech Republic,Leverkusen,23
GK,56,Mateusz Dudek,Poland,Stal Mielec,20
GK,61,Mateusz Kochalski,Poland,Stal Mielec,23
GK,56,Mateusz Mędrala,Poland,Lech Poznań,17
GK,68,Matheo Raab,Germany,Hamburger SV,24
GK,80,Matheus,Brazil,SC Braga,31
GK,78,Mathew Ryan,Australia,AZ,31
GK,67,Mathias Dyngeland,Norway,SK Brann,28
GK,67,Mathieu Gorgelin,France,Havre AC,33
GK,69,Mathieu Michel,France,AC Ajaccio,32
GK,62,Matías Córdova,Peru,Sporting Cristal,21
GK,75,Matías Dituro,Argentina,Karagümrük SK,36
GK,68,Matías Dufour,Uruguay,Defensor,24
GK,66,Matías Ibáñez,Argentina,Colón,36
GK,69,Matías Mansilla,Argentina,Central Córdoba,27
GK,62,Matías Soria,United States,Godoy Cruz,21
GK,68,Matias Tagliamonte,Argentina,Racing Club,25
GK,68,Matija Šarkić,Montenegro,Millwall,26
GK,57,Matt Bersano,United States,Austin FC,31
GK,52,Matt Boylan,Republic of Ireland,St. Pats,19
GK,65,Matt Freese,United States,New York City FC,25
GK,68,Matt Ingram,England,Hull City,29
GK,50,Matt Kerbey,England,Sutton United,21
GK,77,Matt Turner,United States,Nott'm Forest,29
GK,58,Matteo Bignetti,Austria,SK Sturm Graz,19
GK,48,Matteo Fiorenza,Italy,Torino,20
GK,61,Matthew Acton,Australia,Brisbane Roar,31
GK,52,Matthew Connelly,Scotland,Motherwell,20
GK,63,Matthew Cox,England,Bristol Rovers,20
GK,54,Matthew Hall,England,Bristol Rovers,20
GK,56,Matthew Sutton,Australia,Western United,23
GK,56,Matthias Köbbing,Germany,1. FC Köln,26
GK,70,Matthieu Dreyer,France,AS Saint-Étienne,34
GK,58,Matthieu Epolo,Belgium,Standard Liège,18
GK,59,Matthieu Rongier,France,Amiens SC,21
GK,65,Mattia Chiesa,Italy,Hellas Verona,23
GK,79,Mattia Perin,Italy,Juventus,30
GK,71,Mattijs Branderhorst,Holland,FC Utrecht,29
GK,79,Matz Sels,Belgium,Strasbourg,31
GK,57,Maurice Dehler,Germany,FC Ingolstadt 04,20
GK,69,Mauro Goicoechea,Uruguay,Danubio,35
GK,62,Mauro Vigorito,Italy,Como,33
GK,63,Max Crocombe,New Zealand,Burton Albion,30
GK,58,Max Hagemoser,Germany,Hansa Rostock,20
GK,55,Max Harris,England,Cheltenham Town,24
GK,69,Max O'Leary,Republic of Ireland,Bristol City,26
GK,69,Max Stryjek,Poland,Wycombe,27
GK,55,Max Thompson,England,Northampton,19
GK,62,Max Weiß,Germany,Karlsruher SC,19
GK,58,Max Wendt,Germany,SV Darmstadt 98,18
GK,73,Maxime Crépeau,Canada,LAFC,29
GK,63,Maxime Delanghe,Belgium,Cercle Brugge,22
GK,76,Maxime Dupé,France,RSC Anderlecht,30
GK,63,Maxime Hautbois,France,Stade Lavallois,32
GK,62,Maxime Pattier,France,US Concarneau,27
GK,62,Maximilian Braune,Germany,MSV Duisburg,20
GK,56,Maximilian Pußwald,Austria,TSV Hartberg,21
GK,65,Maximilian Schulze Niehues,Germany,Preußen Münster,34
GK,65,Máximo Rabines,Peru,UCV,30
GK,64,Mehdi Jeannin,Algeria,Pau FC,32
GK,60,Melvin Zinga,France,Angers SCO,21
GK,75,Mert Günok,Turkey,Beşiktaş,34
GK,52,Meshari Sanyor,Saudi Arabia,Al Raed,21
GK,68,Michael Brouwer,Holland,Heracles Almelo,30
GK,71,Michael Cooper,England,Plymouth Argyle,24
GK,72,Michael Esser,Germany,VfL Bochum,35
GK,65,Michael Langer,Austria,FC Schalke 04,38
GK,62,Michael Lansing,United States,Aalesunds FK,29
GK,65,Michael McGovern,Northern Ireland,Hearts,39
GK,60,Michael Weier,Australia,Newcastle Jets,26
GK,68,Michael Zetterer,Germany,SV Werder Bremen,28
GK,61,Michał Buchalik,Poland,Ruch Chorzów,34
GK,59,Michał Kołba,Poland,ŁKS Łódź,31
GK,66,Michał Szromnik,Poland,Górnik Zabrze,30
GK,63,Michele Cerofolini,Italy,Frosinone,24
GK,79,Michele Di Gregorio,Italy,Monza,26
GK,61,Miguel Acosta,Argentina,Argentinos Jrs.,21
GK,66,Miguel Ángel Martínez,Paraguay,Cerro Porteño,25
GK,65,Miguel Morro,Spain,Villarreal CF B,23
GK,66,Miguel Silva,Venezuela,Puerto Cabello,23
GK,68,Miguel Vargas,Chile,Cienciano,27
GK,62,Mihai Eșanu,Romania,FC Petrolul,25
GK,68,Mihai Popa,Romania,Torino,22
GK,62,Mike Hauptmeijer,Holland,PEC Zwolle,26
GK,87,Mike Maignan,France,Milan,28
GK,71,Mile Svilar,Serbia,Roma FC,24
GK,55,Min Dong Hwan,Korea Republic,Ulsan Hyundai,22
GK,59,Min Seong Jun,Korea Republic,Incheon United,24
GK,60,Mio Backhaus,Germany,FC Volendam,19
GK,68,Miquel Parera,Spain,R. Racing Club,27
GK,57,Mirco Mazzeo,Switzerland,Yverdon Sport FC,23
GK,65,Mirko Kos,Austria,FK Austria Wien,26
GK,73,Mirko Pigliacelli,Italy,Palermo,30
GK,63,Mirko Salvi,Switzerland,FC Basel 1893,29
GK,55,Mirshad Michu,India,NorthEast United,29
GK,55,Moataz Al Baqawi,Saudi Arabia,Al Tai,25
GK,65,Moha Ramos,Spain,CD Tenerife,23
GK,62,Mohamed Amsif,Morocco,Wehen Wiesbaden,34
GK,61,Mohamed Koné,Côte d'Ivoire,Havre AC,21
GK,54,Mohammad Nawaz,India,Mumbai City FC,23
GK,55,Mohammed Al Mahasna,Saudi Arabia,Damac FC,26
GK,69,Mohammed Al Owais,Saudi Arabia,Al Hilal,31
GK,64,Mohammed Al Rubaie,Saudi Arabia,Al Ahli,26
GK,60,Mohammed Bu Sanda,United Arab Emirates,Al Ain FC,28
GK,75,Moisés Ramírez,Ecuador,Independiente DV,23
GK,65,Moritz Nicolas,Germany,M'gladbach,25
GK,59,Moritz Schulze,Germany,Hallescher FC,22
GK,65,Morten Behrens,Germany,SV Darmstadt 98,26
GK,62,Morten Sætra,Norway,Strømsgodset IF,26
GK,74,Mory Diaw,Senegal,Clermont Foot 63,30
GK,62,Mouhamadou Sarr,Senegal,Cremonese,26
GK,73,Moustapha Zeghba,Algeria,Damac FC,32
GK,57,Mu Pengfei,China PR,Qingdao Hainiu,34
GK,64,Muammer Yıldırım,Turkey,Sivasspor,33
GK,68,Muhammed Şengezer,Turkey,Başakşehir,26
GK,74,Munir,Morocco,Al Wehda,34
GK,52,Murat Can Yıldız,Turkey,Kasımpaşa,25
GK,54,Murphy Mahoney,England,Swindon Town,21
GK,60,Mustafa Burak Bozan,Turkey,Gaziantep,23
GK,64,Mustafa Malaeka,Saudi Arabia,Al Fateh,37
GK,51,Mutlaq Al Hurayji,Saudi Arabia,Al Raed,23
GK,55,Myles Roberts,England,Watford,21
GK,73,Nahuel Losada,Argentina,Belgrano,30
GK,57,Nahuel Noll,Germany,TSG Hoffenheim,20
GK,55,Nando Verdoni,Holland,Go Ahead Eagles,19
GK,69,Nathan Baxter,England,Bolton,24
GK,64,Nathan Bishop,England,Sunderland,23
GK,53,Nathan Harness,England,MK Dons,23
GK,63,Nathan Shepperd,Wales,Dundalk,23
GK,65,Nathan Trott,England,Vejle Boldklub,24
GK,66,Nawaf Al Aqidi,Saudi Arabia,Al Nassr,23
GK,66,Neil Etheridge,Philippines,Birmingham City,33
GK,78,Neto,Brazil,AFC Bournemouth,34
GK,67,Neto Volpi,Brazil,Deportes Tolima,31
GK,60,Nicholas Bilokapic,Australia,Peterborough,21
GK,66,Nick Gillekens,Belgium,KVC Westerlo,28
GK,56,Nick Hayes,England,Ipswich,24
GK,75,Nick Olij,Holland,Sparta Rotterdam,28
GK,84,Nick Pope,England,Newcastle Utd,31
GK,64,Nick Shinton,Belgium,Club Brugge,22
GK,60,Nick Townsend,Antigua and Barbuda,Newport County,28
GK,66,Niclas Thiede,Germany,VfL Bochum,24
GK,69,Nico Mantl,Germany,RB Salzburg,23
GK,55,Nicola Bagnolini,Italy,Bologna,19
GK,69,Nicola Leali,Italy,Genoa,30
GK,67,Nicola Ravaglia,Italy,Sampdoria,34
GK,70,Nicolai Larsen,Denmark,Silkeborg IF,32
GK,69,Nicolas,Brazil,Pisa,35
GK,57,Nicolas Alavoine,Belgium,RWD Molenbeek,21
GK,48,Nicolas Closset,Belgium,Sp. Charleroi,19
GK,56,Nicolas Glaus,Switzerland,Grasshopper Club,21
GK,67,Nicolas Kristof,Austria,SV Elversberg,23
GK,67,Nicolas Lemaître,France,ESTAC Troyes,26
GK,68,Nicolás Peranic,Argentina,Uni. Católica,38
GK,72,Nicolás Ratti,Argentina,FC Andorra,30
GK,68,Nicolás Rossi,Uruguay,Defensor,25
GK,62,Nicolas Schmid,Austria,Blau-Weiss Linz,26
GK,61,Nik Tzanev,New Zealand,AFC Wimbledon,26
GK,49,Nikhil Deka,India,NorthEast United,20
GK,67,Nikita Contini,Ukraine,Napoli FC,27
GK,71,Nikita Haikin,Russia,FK Bodø/Glimt,28
GK,70,Niklas Hedl,Austria,SK Rapid Wien,22
GK,62,Niklas Klinger,Germany,VfL Wolfsburg,27
GK,66,Niklas Lomb,Germany,Leverkusen,30
GK,63,Niklas Sauter,Germany,SC Freiburg II,20
GK,70,Nikola Vasilj,Bosnia and Herzegovina,FC St. Pauli,27
GK,63,Nikolai Rehnen,Germany,SV Sandhausen,26
GK,57,Nils De Mol,Switzerland,FC Basel 1893,22
GK,68,Nils Körber,Germany,Hansa Rostock,26
GK,51,Niraj Kumar,India,Odisha FC,20
GK,64,No Dong Geon,Korea Republic,Suwon FC,32
GK,70,Noah Atubolu,Germany,SC Freiburg,21
GK,53,Noah Brdar,Germany,Wehen Wiesbaden,18
GK,62,Noah Kruth,Germany,1. FC Magdeburg,20
GK,62,Noel Törnqvist,Sweden,Mjällby AIF,21
GK,66,Norbert Alblas,Holland,Excelsior,28
GK,63,Nordin Bakker,Holland,Almere City FC,25
GK,67,Nordin Jackers,Belgium,Club Brugge,26
GK,61,Obed Nkambadio,France,Paris FC,20
GK,66,Octavian Vâlceanu,Romania,FC Voluntari,26
GK,81,Odisseas Vlachodimos,Greece,Nott'm Forest,29
GK,69,Oh Seung Hoon,Korea Republic,Daegu FC,35
GK,68,Okan Kocuk,Turkey,Samsunspor,28
GK,61,Ole Springer,Germany,Rot-Weiss Essen,31
GK,80,Oliver Baumann,Germany,TSG Hoffenheim,33
GK,53,Oliver Byrne,England,Cork City,25
GK,73,Oliver Christensen,Denmark,Fiorentina,24
GK,64,Oliver Dovin,Sweden,Hammarby IF,21
GK,62,Oliver Petersen,Norway,Molde FK,22
GK,68,Oliver Sail,New Zealand,Perth Glory,27
GK,64,Omar Rodríguez,Colombia,Santa Fe,26
GK,75,Ondřej Kolář,Czech Republic,Slavia Praha,28
GK,59,Oregan Ravet,Belgium,OH Leuven,22
GK,69,Ørjan Nyland,Norway,Sevilla FC,33
GK,68,Ortwin De Wolf,Belgium,Royal Antwerp FC,26
GK,57,Orué Chacín,Venezuela,Monagas SC,20
GK,53,Osama Al Mermish,Saudi Arabia,Al Ittihad,20
GK,62,Oscar Hedvall,Denmark,FC Midtjylland,25
GK,69,Oscar Jansson,Sweden,IFK Norrköping,32
GK,53,Oskar Annell,Belgium,KV Mechelen,18
GK,54,Oskar Snorre,Denmark,Randers FC,24
GK,54,Otega Ekperuoh,Sweden,Brommapojkarna,18
GK,65,Otto Hindrich,Romania,CFR 1907 Cluj,21
GK,63,Owen Evans,Wales,Walsall,26
GK,60,Owen Goodman,England,Colchester,19
GK,52,Owen Mason,Republic of Ireland,Mansfield Town,19
GK,64,Owono,Equatorial Guinea,D. Alavés,22
GK,63,Pablo Cuñat,Spain,SD Amorebieta,21
GK,64,Pablo Sisniega,Mexico,Charlotte FC,28
GK,63,Pablo Valencia,Spain,CA Osasuna,22
GK,75,Pacheco,Spain,RCD Espanyol,31
GK,63,Park Bae Jong,Korea Republic,Suwon FC,33
GK,60,Pascal Kuiper,Holland,Excelsior,19
GK,63,Pascal Loretz,Switzerland,FC Luzern,20
GK,59,Patricio Albornoz,Argentina,Lanús,23
GK,73,Patrick Drewes,Germany,Karlsruher SC,30
GK,71,Patrick Pentz,Austria,Brøndby IF,26
GK,66,Patrick Schulte,United States,Columbus Crew,22
GK,71,Patrik Carlgren,Sweden,Randers FC,31
GK,68,Patrik Gunnarsson,Iceland,Viking FK,22
GK,80,Pau López,Spain,OM,28
GK,73,Paul Bernardoni,France,Konyaspor,26
GK,61,Paul Farman,England,Barrow,33
GK,66,Paul Gartler,Austria,SK Rapid Wien,26
GK,67,Paul Izzo,Australia,Melb. Victory,28
GK,73,Paul Nardi,France,KAA Gent,29
GK,53,Paul Piffer,Austria,SCR Altach,17
GK,57,Paul Schermer,Austria,WSG Tirol,19
GK,59,Paul Tschernuth,Austria,Heidenheim,21
GK,78,Paulo Gazzaniga,Argentina,Girona FC,31
GK,76,Paulo Victor,Brazil,Ettifaq FC,36
GK,75,Paulo Vítor,Brazil,Al Okhdood,34
GK,73,Pavao Pervan,Austria,VfL Wolfsburg,35
GK,56,Peder Hoel Lervik,Norway,Molde FK,18
GK,73,Pedro Gallese,Peru,Orlando City,33
GK,73,Pedro Ortíz,Ecuador,CS Emelec,33
GK,64,Pelle Boevink,Holland,SC Paderborn 07,25
GK,52,Peng Peng,China PR,Henan SSLM FC,22
GK,77,Pepe Reina,Spain,Villarreal CF,41
GK,68,Per Kristian Bråtveit,Norway,Odds BK,27
GK,58,Petar Zovko,Bosnia and Herzegovina,Spezia,21
GK,69,Peter Abrahamsson,Sweden,BK Häcken,35
GK,54,Peter Cherrie,Scotland,Dundalk,40
GK,84,Péter Gulácsi,Hungary,RB Leipzig,33
GK,59,Peter Urminsky,Slovakia,St. Mirren,24
GK,70,Peter Vindahl Jensen,Denmark,Sparta Praha,25
GK,66,Philipp Klewin,Germany,VfB Lübeck,30
GK,72,Philipp Köhn,Switzerland,AS Monaco,25
GK,68,Philipp Kühn,Germany,VfL Osnabrück,31
GK,66,Philipp Pentke,Germany,1. FC Köln,38
GK,59,Philipp Schulze,Germany,VfL Wolfsburg,20
GK,67,Phillip Menzel,Germany,Austria Klagenfurt,25
GK,58,Phurba Lachenpa,India,Mumbai City FC,25
GK,55,Pierce Charles,Northern Ireland,Sheffield Wed,18
GK,65,Pierluigi Frattali,Italy,Frosinone,37
GK,76,Pierluigi Gollini,Italy,Napoli FC,28
GK,62,Pierre Bolchini,Italy,Como,24
GK,67,Pierre Patron,France,Sp. Charleroi,26
GK,60,Pietro Boer,Italy,Roma FC,21
GK,79,Pietro Terracciano,Italy,Fiorentina,33
GK,64,Pilip Vaitsiakhovich,Belarus,IFK Värnamo,33
GK,63,Plamen Iliev,Bulgaria,FC Univ. Cluj,31
GK,65,Pontus Dahlberg,Sweden,IFK Göteborg,24
GK,58,Prabhsukhan Gill,India,East Bengal,22
GK,78,Predrag Rajković,Serbia,RCD Mallorca,27
GK,66,Przemysław Tytoń,Poland,FC Twente,36
GK,69,Quentin Braat,France,R. Oviedo,26
GK,60,Quentin Galvez-Diarra,France,Pau FC,22
GK,63,Quentin Westberg,United States,Atlanta United,37
GK,70,Radosław Majecki,Poland,AS Monaco,23
GK,61,Rafael Hornos,Uruguay,Liverpool,18
GK,77,Rafał Gikiewicz,Poland,MKE Ankaragücü,35
GK,64,Rafał Leszczyński,Poland,Śląsk Wrocław,31
GK,53,Rafał Mamla,Poland,Korona Kielce,19
GK,68,Rafał Strączek,Poland,Bordeaux,24
GK,70,Raffaele Di Gennaro,Italy,Inter,30
GK,58,Raghid Al Najjar,Saudi Arabia,Al Nassr,27
GK,53,Rakan Al Najjar,Saudi Arabia,Al Riyadh,28
GK,52,Rakshit Dagar,India,Jamshedpur FC,30
GK,72,Ralf Fährmann,Germany,FC Schalke 04,35
GK,71,Ramiro Macagno,Argentina,Platense,26
GK,64,Ramón Juan,Spain,CD Mirandés,23
GK,50,Ran Weifeng,China PR,Rongcheng FC,21
GK,64,Randall Rodríguez,Uruguay,Peñarol,19
GK,66,Raphael Sallinger,Austria,TSV Hartberg,27
